year,age_group,count
1995,3-11 Years,3609
1995,12-17 Years,3403
1995,18-64 Years,67021
1995,65-85 Years,24362
1995,More than 85 Years,1703
1995,Not Specified,40014
1996,0-1 Month,446
1996,2 Months-2 Years,1625
1996,3-11 Years,4534
1996,12-17 Years,3540
1996,18-64 Years,76983
1996,65-85 Years,32401
1996,More than 85 Years,2145
1996,Not Specified,50530
1997,0-1 Month,704
1997,2 Months-2 Years,1825
1997,3-11 Years,4791
1997,12-17 Years,3701
1997,18-64 Years,94179
1997,65-85 Years,39146
1997,More than 85 Years,2547
1997,Not Specified,51341
1998,0-1 Month,1210
1998,2 Months-2 Years,1565
1998,3-11 Years,3389
1998,12-17 Years,3417
1998,18-64 Years,76221
1998,65-85 Years,34936
1998,More than 85 Years,2544
1998,Not Specified,36608
1999,0-1 Month,1475
1999,2 Months-2 Years,2297
1999,3-11 Years,3826
1999,12-17 Years,3691
1999,18-64 Years,106172
1999,65-85 Years,50510
1999,More than 85 Years,3601
1999,Not Specified,52791
2000,0-1 Month,1622
2000,2 Months-2 Years,2044
2000,3-11 Years,3530
2000,12-17 Years,3603
2000,18-64 Years,90885
2000,65-85 Years,49451
2000,More than 85 Years,3827
2000,Not Specified,44837
2001,0-1 Month,2347
2001,2 Months-2 Years,1883
2001,3-11 Years,4158
2001,12-17 Years,4397
2001,18-64 Years,91906
2001,65-85 Years,49665
2001,More than 85 Years,4059
2001,Not Specified,44793
2002,0-1 Month,2123
2002,2 Months-2 Years,1576
2002,3-11 Years,3237
2002,12-17 Years,3586
2002,18-64 Years,86527
2002,65-85 Years,44580
2002,More than 85 Years,3696
2002,Not Specified,39554
2003,0-1 Month,1961
2003,2 Months-2 Years,1771
2003,3-11 Years,5042
2003,12-17 Years,5267
2003,18-64 Years,103025
2003,65-85 Years,50279
2003,More than 85 Years,4202
2003,Not Specified,53687
2004,0-1 Month,1825
2004,2 Months-2 Years,1968
2004,3-11 Years,6264
2004,12-17 Years,6411
2004,18-64 Years,124501
2004,65-85 Years,65620
2004,More than 85 Years,5362
2004,Not Specified,60880
2005,0-1 Month,1888
2005,2 Months-2 Years,2007
2005,3-11 Years,5985
2005,12-17 Years,6308
2005,18-64 Years,144271
